order_id,order_date,customer_id
1,2017-01-01,1651
2,2017-01-01,122
3,2017-01-01,721
4,2017-01-01,1893
5,2017-01-01,1072
6,2017-01-01,2092
7,2017-01-01,2010
8,2017-01-01,114
9,2017-01-01,971
10,2017-01-01,451
11,2017-01-01,1052
12,2017-01-01,45
13,2017-01-01,2199
14,2017-01-01,2094
15,2017-01-02,823
16,2017-01-02,1989
17,2017-01-02,842
18,2017-01-02,1288
19,2017-01-02,1145
20,2017-01-02,255
21,2017-01-02,451
22,2017-01-02,844
23,2017-01-02,345
24,2017-01-02,1749
25,2017-01-02,2281
26,2017-01-02,1782
27,2017-01-02,2103
28,2017-01-02,866
29,2017-01-02,671
30,2017-01-02,1667
31,2017-01-02,177
32,2017-01-02,1346
33,2017-01-02,437
34,2017-01-02,2330
35,2017-01-02,1384
36,2017-01-02,1480
37,2017-01-02,1035
38,2017-01-02,1807
39,2017-01-02,206
40,2017-01-03,722
41,2017-01-03,1247
42,2017-01-03,217
43,2017-01-03,1068
44,2017-01-03,2200
45,2017-01-03,1501
46,2017-01-03,1115
47,2017-01-03,930
48,2017-01-03,1865
49,2017-01-03,2046
50,2017-01-03,2181
51,2017-01-03,1491
52,2017-01-03,1350
53,2017-01-03,1841
54,2017-01-03,816
55,2017-01-03,2219
56,2017-01-04,1589
57,2017-01-04,1305
58,2017-01-04,979
59,2017-01-04,1764
60,2017-01-04,2003
61,2017-01-04,948
62,2017-01-04,1744
63,2017-01-04,953
64,2017-01-04,1434
65,2017-01-04,190
66,2017-01-04,1087
67,2017-01-04,2231
68,2017-01-04,628
69,2017-01-04,1534
70,2017-01-04,2217
71,2017-01-04,1079
72,2017-01-04,394
73,2017-01-04,1935
74,2017-01-04,658
75,2017-01-04,1492
76,2017-01-04,1659
77,2017-01-04,56
78,2017-01-04,1949
79,2017-01-04,79
80,2017-01-04,1147
81,2017-01-04,1797
82,2017-01-05,705
83,2017-01-05,1679
84,2017-01-05,2179
85,2017-01-05,784
86,2017-01-05,1055
87,2017-01-05,1157
88,2017-01-05,2009
89,2017-01-05,548
90,2017-01-05,816
91,2017-01-05,218
92,2017-01-05,1869
93,2017-01-05,1267
94,2017-01-05,1902
95,2017-01-05,2173
96,2017-01-05,2017
97,2017-01-05,113
98,2017-01-05,765
99,2017-01-05,2040
100,2017-01-06,1838
101,2017-01-06,1016
102,2017-01-06,817
103,2017-01-06,1905
104,2017-01-06,602
105,2017-01-06,2226
106,2017-01-06,2184
107,2017-01-06,2088
108,2017-01-06,550
109,2017-01-06,884
110,2017-01-06,1903
111,2017-01-06,496
112,2017-01-06,1408
113,2017-01-06,2179
114,2017-01-07,522
115,2017-01-07,1234
116,2017-01-07,2344
117,2017-01-07,1492
118,2017-01-07,1420
119,2017-01-07,579
120,2017-01-07,1618
121,2017-01-07,1364
122,2017-01-07,1232
123,2017-01-07,2174
124,2017-01-07,576
125,2017-01-07,824
126,2017-01-07,944
127,2017-01-07,436
128,2017-01-07,117
129,2017-01-07,1480
130,2017-01-07,1610
131,2017-01-07,1917
132,2017-01-08,789
133,2017-01-08,248
134,2017-01-08,1551
135,2017-01-08,1572
136,2017-01-08,961
137,2017-01-08,1412
138,2017-01-08,1985
139,2017-01-08,1691
140,2017-01-08,1780
141,2017-01-08,769
142,2017-01-08,380
143,2017-01-08,679
144,2017-01-08,1893
145,2017-01-08,769
146,2017-01-08,2275
147,2017-01-08,617
148,2017-01-08,829
149,2017-01-08,488
150,2017-01-08,1828
151,2017-01-08,1767
152,2017-01-09,1121
153,2017-01-09,1389
154,2017-01-09,2217
155,2017-01-09,360
156,2017-01-09,2334
157,2017-01-09,1490
158,2017-01-09,395
159,2017-01-09,477
160,2017-01-09,2218
161,2017-01-09,2084
162,2017-01-09,1018
163,2017-01-09,328
164,2017-01-09,592
165,2017-01-09,308
166,2017-01-09,310
167,2017-01-09,1873
168,2017-01-09,1434
169,2017-01-09,1111
170,2017-01-10,999
171,2017-01-10,779
172,2017-01-10,549
173,2017-01-10,559
174,2017-01-10,1514
175,2017-01-10,261
176,2017-01-10,2056
177,2017-01-10,817
178,2017-01-10,1977
179,2017-01-10,1699
180,2017-01-10,888
181,2017-01-10,20
182,2017-01-10,1897
183,2017-01-10,82
184,2017-01-11,1574
185,2017-01-11,516
186,2017-01-11,1211
187,2017-01-11,1611
188,2017-01-11,1088
189,2017-01-11,1148
190,2017-01-11,1980
191,2017-01-11,1339
192,2017-01-11,931
193,2017-01-11,271
194,2017-01-11,2206
195,2017-01-11,297
196,2017-01-11,1236
197,2017-01-11,996
198,2017-01-11,1228
199,2017-01-11,1136
200,2017-01-11,480
201,2017-01-11,542
202,2017-01-11,66
203,2017-01-11,1879
204,2017-01-11,1169
205,2017-01-11,217
206,2017-01-11,2146
207,2017-01-11,1016
208,2017-01-12,1284
209,2017-01-12,1153
210,2017-01-12,322
211,2017-01-12,2118
212,2017-01-12,1692
213,2017-01-12,1245
214,2017-01-12,1775
215,2017-01-12,921
216,2017-01-12,1650
217,2017-01-12,2170
218,2017-01-12,2043
219,2017-01-12,288
220,2017-01-12,1018
221,2017-01-12,1670
222,2017-01-12,986
223,2017-01-12,835
224,2017-01-12,51
225,2017-01-12,636
226,2017-01-13,285
227,2017-01-13,2311
228,2017-01-13,992
229,2017-01-13,859
230,2017-01-13,2012
231,2017-01-13,680
232,2017-01-13,741
233,2017-01-13,979
234,2017-01-13,725
235,2017-01-13,1258
236,2017-01-13,497
237,2017-01-13,852
238,2017-01-13,283
239,2017-01-13,1601
240,2017-01-14,1881
241,2017-01-14,1423
242,2017-01-14,1488
243,2017-01-14,996
244,2017-01-14,2190
245,2017-01-14,1320
246,2017-01-14,583
247,2017-01-14,805
248,2017-01-14,1670
249,2017-01-14,286
250,2017-01-14,276
251,2017-01-14,387
252,2017-01-14,536
253,2017-01-14,1418
254,2017-01-14,1895
255,2017-01-14,824
256,2017-01-15,1399
257,2017-01-15,1360
258,2017-01-15,2083
259,2017-01-15,583
260,2017-01-15,2146
261,2017-01-15,309
262,2017-01-15,2268
263,2017-01-15,464
264,2017-01-15,2196
265,2017-01-15,237
266,2017-01-15,1795
267,2017-01-15,1368
268,2017-01-15,1225
269,2017-01-15,906
270,2017-01-15,2235
271,2017-01-15,1565
272,2017-01-15,1005
273,2017-01-15,1271
274,2017-01-15,1284
275,2017-01-15,831
276,2017-01-16,1945
277,2017-01-16,2302
278,2017-01-16,1756
279,2017-01-16,1288
280,2017-01-16,2301
281,2017-01-16,2254
282,2017-01-16,798
283,2017-01-17,800
284,2017-01-17,1047
285,2017-01-17,2064
286,2017-01-17,1126
287,2017-01-17,2131
288,2017-01-17,1919
289,2017-01-17,486
290,2017-01-17,1257
291,2017-01-17,570
292,2017-01-17,875
293,2017-01-17,405
294,2017-01-17,284
295,2017-01-17,1127
296,2017-01-17,1237
297,2017-01-17,710
298,2017-01-17,2074
299,2017-01-17,2172
300,2017-01-17,170
301,2017-01-17,350
302,2017-01-17,1529
303,2017-01-17,434
304,2017-01-17,51
305,2017-01-17,418
306,2017-01-18,1041
307,2017-01-18,1103
308,2017-01-18,1215
309,2017-01-18,81
310,2017-01-18,951
311,2017-01-18,2235
312,2017-01-18,282
313,2017-01-18,12
314,2017-01-18,1332
315,2017-01-18,1039
316,2017-01-18,404
317,2017-01-18,576
318,2017-01-18,1625
319,2017-01-18,1408
320,2017-01-18,1446
321,2017-01-18,909
322,2017-01-18,719
